iter	Passed	Remaining
0	0	74
1	1	68
2	1	64
3	2	60
4	3	59
5	3	57
6	4	57
7	4	57
8	5	55
9	6	54
10	6	53
11	7	53
12	7	52
13	8	51
14	8	50
15	9	50
16	10	50
17	10	49
18	11	49
19	12	48
20	12	47
21	13	47
22	13	46
23	14	46
24	15	45
25	15	44
26	16	44
27	16	43
28	17	42
29	18	42
30	18	41
31	19	40
32	19	40
33	20	39
34	20	38
35	21	38
36	22	37
37	22	37
38	23	36
39	36	54
40	37	53
41	37	51
42	37	50
43	38	49
44	39	47
45	39	46
46	40	45
47	41	44
48	41	43
49	42	42
50	42	41
51	43	39
52	43	38
53	44	37
54	44	36
55	45	35
56	45	34
57	46	33
58	46	32
59	47	31
60	48	30
61	48	29
62	49	28
63	49	27
64	50	27
65	50	26
66	51	25
67	51	24
68	52	23
69	53	22
70	53	21
71	54	21
72	54	20
73	55	19
74	56	18
75	56	17
76	57	17
77	57	16
78	58	15
79	59	14
80	59	13
81	60	13
82	61	12
83	61	11
84	62	10
85	62	10
86	63	9
87	64	8
88	64	7
89	65	7
90	66	6
91	66	5
92	67	5
93	68	4
94	68	3
95	69	2
96	69	2
97	70	1
98	71	0
99	71	0
