iter	Passed	Remaining
0	0	655
1	1	603
2	1	597
3	2	594
4	2	579
5	3	569
6	3	562
7	4	556
8	5	556
9	5	551
10	6	554
11	6	567
12	7	564
13	7	560
14	8	556
15	9	554
16	9	552
17	10	549
18	10	545
19	11	542
20	11	540
21	12	538
22	12	535
23	13	534
24	13	533
25	14	531
26	14	530
27	15	528
28	15	526
29	16	524
30	16	523
31	17	522
32	17	521
33	18	520
34	18	518
35	19	517
36	19	517
37	20	516
38	20	515
39	21	519
40	22	519
41	22	518
42	23	517
43	23	517
44	24	516
45	24	515
46	25	514
47	25	513
48	26	512
49	26	511
50	27	510
51	27	509
52	28	508
53	28	507
54	29	508
55	30	508
56	30	507
57	31	506
58	31	505
59	32	504
60	32	503
61	33	502
62	33	501
63	34	500
64	34	499
65	35	498
66	35	498
67	36	499
68	37	499
69	37	498
70	38	498
71	38	497
72	39	496
73	39	495
74	40	494
75	40	494
76	41	493
77	41	492
78	42	492
79	42	491
80	43	490
81	43	490
82	44	487
83	44	486
84	45	486
85	45	485
86	46	484
87	46	484
88	47	483
89	47	482
90	48	481
91	48	481
92	49	480
93	49	479
94	50	479
95	50	478
96	51	479
97	52	479
98	52	478
99	53	478
100	53	477
101	54	476
102	54	476
103	55	475
104	55	474
105	56	474
106	56	473
107	57	473
108	57	472
109	58	472
110	58	471
111	59	470
112	59	470
113	60	469
114	60	469
115	61	468
116	61	466
117	62	466
118	62	465
119	63	465
120	63	464
121	64	463
122	64	462
123	65	461
124	65	461
125	66	461
126	66	460
127	67	459
128	68	459
129	68	458
130	69	457
131	69	457
132	70	456
133	70	455
134	71	455
135	71	454
136	72	453
137	72	453
138	73	452
139	73	452
140	74	451
141	74	449
142	74	449
143	75	448
144	75	447
145	76	447
146	76	446
147	77	445
148	77	445
149	78	444
150	78	443
151	79	443
152	79	442
153	80	442
154	81	441
155	81	442
156	82	441
157	82	441
158	83	441
159	84	441
160	84	439
161	84	439
162	85	439
163	86	438
164	86	438
165	87	437
166	87	437
167	88	436
168	88	436
169	89	436
170	89	435
171	90	435
172	90	434
173	91	434
174	92	433
175	92	433
176	93	433
177	93	432
178	94	432
179	94	431
180	95	431
181	95	431
182	96	431
183	97	431
184	97	430
185	98	430
186	98	430
187	99	429
188	100	429
189	100	429
190	101	428
191	101	428
192	102	428
193	103	427
194	103	427
195	104	427
196	104	427
197	105	426
198	105	426
199	106	425
200	106	424
201	107	424
202	108	424
203	108	423
204	109	423
205	109	423
206	110	422
207	110	422
208	111	422
209	112	422
210	112	421
211	113	421
212	113	420
213	114	420
214	115	419
215	115	419
216	116	418
217	116	418
218	117	417
219	117	417
220	118	416
221	118	416
222	119	415
223	119	415
224	120	414
225	120	414
226	121	413
227	121	412
228	122	412
229	123	411
230	123	411
231	124	410
232	124	410
233	125	409
234	126	412
235	127	412
236	128	412
237	128	411
238	129	411
239	129	410
240	130	410
241	130	409
242	131	409
243	131	408
244	132	408
245	133	407
246	133	407
247	134	406
248	134	406
249	135	405
250	135	405
251	136	404
252	136	404
253	137	403
254	138	403
255	138	402
256	139	402
257	139	402
258	140	402
259	141	402
260	141	401
261	142	401
262	142	400
263	143	400
264	144	399
265	144	399
266	145	398
267	145	397
268	146	397
269	146	396
270	147	396
271	147	395
272	148	395
273	148	394
274	149	393
275	149	393
276	150	392
277	151	392
278	151	391
279	152	391
280	152	390
281	153	390
282	153	389
283	154	389
284	155	388
285	155	388
286	156	388
287	156	387
288	157	387
289	157	386
290	158	385
291	158	385
292	159	384
293	160	384
294	160	383
295	161	383
296	161	382
297	162	382
298	162	381
299	163	380
300	163	380
301	164	379
302	164	379
303	165	378
304	165	378
305	166	377
306	167	377
307	167	376
308	168	376
309	168	375
310	169	374
311	169	374
312	170	373
313	170	373
314	171	372
315	172	372
316	172	371
317	173	371
318	173	370
319	174	370
320	174	369
321	175	368
322	175	368
323	176	367
324	176	367
325	177	366
326	177	366
327	178	365
328	178	364
329	179	364
330	179	363
331	180	363
332	181	362
333	181	362
334	182	361
335	182	360
336	183	360
337	183	359
338	184	359
339	184	358
340	185	358
341	185	357
342	186	356
343	186	356
344	187	355
345	187	355
346	188	354
347	189	354
348	189	353
349	190	353
350	190	352
351	191	351
352	191	351
353	192	350
354	192	350
